Element;Sect;Col;Seism;GroupRSU;Crit;N;Mk;My;Qz;Mz;Qy;Loads
545;1;2;-;B2;2;-12.292669;0.010826;0;-0.078109;0;-0.215883;1 2 8 9 10 11
545;1;1;-;B2;10;-12.27137;0.010403;0;-0.085209;0;-0.238847;1 8 11
545;1;1;-;B2;12;-12.272288;0.01053;0;-0.083765;0;-0.239096;1 2 8
545;1;2;-;B2;29;-12.291322;0.010726;0;-0.079283;0;-0.215709;1 8 9 10 11
545;1;2;-;B2;33;-12.29224;0.010853;0;-0.077838;0;-0.215959;1 2 8 9 10
545;2;1;-;A2;2;-13.13597;0.01051;-0.179948;-0.083697;0.501735;-0.233365;1 8 10
545;2;1;-;A2;4;-13.13094;0.01043;-0.182616;-0.084938;0.513684;-0.238923;1 8
545;2;2;-;B2;2;-13.151321;0.010726;-0.170457;-0.079283;0.463775;-0.215709;1 8 9 10 11
545;2;1;-;B2;4;-13.13137;0.010403;-0.1832;-0.085209;0.51352;-0.238847;1 8 11
545;2;1;-;B2;6;-13.132288;0.01053;-0.180094;-0.083765;0.514057;-0.239096;1 2 8
545;2;2;-;B2;8;-13.15224;0.010853;-0.167351;-0.077838;0.464312;-0.215959;1 2 8 9 10
545;2;2;-;B2;18;-13.152669;0.010826;-0.167935;-0.078109;0.464148;-0.215883;1 2 8 9 10 11
