Element;Sect;Col;Seism;GroupRSU;Crit;N;Mk;My;Qz;Mz;Qy;Loads
545;1;2;-;B2;2;-12.282287;0.010656;0;-0.081331;0;-0.227307;1 2 8 9 10 11
545;1;1;-;B2;10;-12.271091;0.010421;0;-0.085033;0;-0.238896;1 8 11
545;1;1;-;B2;12;-12.271884;0.0105;0;-0.084116;0;-0.239044;1 2 8
545;1;2;-;B2;29;-12.281343;0.010586;0;-0.082152;0;-0.227186;1 8 9 10 11
545;1;2;-;B2;33;-12.282137;0.010665;0;-0.081235;0;-0.227334;1 2 8 9 10
545;2;1;-;A2;2;-13.13597;0.01051;-0.179948;-0.083697;0.501735;-0.233365;1 8 10
545;2;1;-;A2;4;-13.13094;0.01043;-0.182616;-0.084938;0.513684;-0.238923;1 8
545;2;2;-;B2;2;-13.141343;0.010586;-0.176626;-0.082152;0.488449;-0.227186;1 8 9 10 11
545;2;1;-;B2;4;-13.13109;0.010421;-0.182821;-0.085033;0.513627;-0.238896;1 8 11
545;2;1;-;B2;6;-13.131884;0.0105;-0.18085;-0.084116;0.513945;-0.239044;1 2 8
545;2;2;-;B2;8;-13.142137;0.010665;-0.174656;-0.081235;0.488768;-0.227334;1 2 8 9 10
545;2;2;-;B2;18;-13.142286;0.010656;-0.174861;-0.081331;0.48871;-0.227307;1 2 8 9 10 11
